gen,nevals,avg,min,max
0,0,[      inf 0.2408443       inf],[1.34500000e+05 0.00000000e+00 1.92192263e-02],[inf  1. inf]
1,144,[       inf 0.25971918        inf],[1.22620000e+05 0.00000000e+00 1.87809958e-02],[inf  1. inf]
2,151,[       inf 0.25167291        inf],[8.31400000e+04 0.00000000e+00 1.81969754e-02],[inf  1. inf]
3,142,[       inf 0.29613897        inf],[9.9120000e+04 0.0000000e+00 1.7827819e-02],[inf  1. inf]
4,152,[       inf 0.25192898        inf],[1.0066000e+05 0.0000000e+00 1.8479575e-02],[inf  1. inf]
5,146,[       inf 0.24089163        inf],[1.0066000e+05 0.0000000e+00 1.8479575e-02],[inf  1. inf]
6,148,[       inf 0.26430359        inf],[1.01660000e+05 0.00000000e+00 1.81339844e-02],[inf  1. inf]
7,148,[       inf 0.29296753        inf],[1.01660000e+05 0.00000000e+00 1.73965351e-02],[inf  1. inf]
8,152,[       inf 0.26721082        inf],[1.01660000e+05 0.00000000e+00 1.83369584e-02],[inf  1. inf]
9,147,[       inf 0.25140023        inf],[1.38900000e+05 0.00000000e+00 1.72597757e-02],[inf  1. inf]
10,146,[       inf 0.30694081        inf],[1.22940000e+05 0.00000000e+00 1.76638186e-02],[inf  1. inf]
11,157,[       inf 0.26281789        inf],[1.12460000e+05 0.00000000e+00 1.76638186e-02],[inf  1. inf]
12,149,[       inf 0.25525053        inf],[1.12460000e+05 0.00000000e+00 1.80752794e-02],[inf  1. inf]
13,146,[       inf 0.25131844        inf],[1.09780000e+05 0.00000000e+00 1.79662485e-02],[inf  1. inf]
14,148,[       inf 0.22987086        inf],[9.81400000e+04 0.00000000e+00 1.81020725e-02],[inf  1. inf]
15,154,[       inf 0.21021387        inf],[1.09780000e+05 0.00000000e+00 1.81020725e-02],[inf  1. inf]
16,144,[       inf 0.20887397        inf],[1.09780000e+05 0.00000000e+00 1.81020725e-02],[inf  1. inf]
17,138,[       inf 0.22220965        inf],[1.18260000e+05 0.00000000e+00 1.70913164e-02],[inf  1. inf]
18,154,[       inf 0.23273972        inf],[1.18260000e+05 0.00000000e+00 1.80568602e-02],[inf  1. inf]
19,150,[      inf 0.2287589       inf],[1.18260000e+05 0.00000000e+00 1.74479253e-02],[inf  1. inf]
20,150,[       inf 0.28848904        inf],[1.18260000e+05 0.00000000e+00 1.80568602e-02],[inf  1. inf]
21,146,[      inf 0.2636936       inf],[1.18260000e+05 0.00000000e+00 1.80568602e-02],[inf  1. inf]
22,147,[       inf 0.25570362        inf],[1.18260000e+05 0.00000000e+00 1.78159687e-02],[inf  1. inf]
23,150,[       inf 0.23912042        inf],[8.18600000e+04 0.00000000e+00 1.80568602e-02],[inf  1. inf]
24,152,[       inf 0.24217472        inf],[8.73000000e+04 0.00000000e+00 1.74364671e-02],[inf  1. inf]
25,149,[       inf 0.22579507        inf],[7.68000000e+04 0.00000000e+00 1.68224478e-02],[inf  1. inf]
26,140,[       inf 0.21657847        inf],[9.50400000e+04 0.00000000e+00 1.68224478e-02],[inf  1. inf]
27,145,[       inf 0.19479467        inf],[1.20000000e+05 0.00000000e+00 1.84170417e-02],[inf  1. inf]
28,152,[       inf 0.18646225        inf],[1.25640000e+05 0.00000000e+00 1.74222715e-02],[inf  1. inf]
29,143,[       inf 0.21658697        inf],[1.25640000e+05 0.00000000e+00 1.74222715e-02],[inf  1. inf]
30,154,[       inf 0.23842703        inf],[1.19020000e+05 0.00000000e+00 1.77908013e-02],[inf  1. inf]
31,148,[       inf 0.23041282        inf],[1.08960000e+05 0.00000000e+00 1.77908013e-02],[inf  1. inf]
32,163,[       inf 0.22023774        inf],[1.11880000e+05 0.00000000e+00 1.77908013e-02],[inf  1. inf]
33,154,[       inf 0.20670083        inf],[9.14200000e+04 0.00000000e+00 1.86130703e-02],[inf  1. inf]
34,160,[       inf 0.18157739        inf],[9.14200000e+04 0.00000000e+00 1.88714135e-02],[inf  1. inf]
35,147,[       inf 0.18427621        inf],[9.14200000e+04 0.00000000e+00 1.88714135e-02],[inf  1. inf]
36,150,[       inf 0.22157389        inf],[9.44800000e+04 0.00000000e+00 1.88807496e-02],[inf  1. inf]
37,156,[       inf 0.20428069        inf],[1.01020000e+05 0.00000000e+00 1.80818948e-02],[inf  1. inf]
38,154,[       inf 0.20388406        inf],[1.01020000e+05 0.00000000e+00 1.80818948e-02],[inf  1. inf]
39,150,[       inf 0.19077043        inf],[1.19480000e+05 0.00000000e+00 1.80818948e-02],[inf  1. inf]
40,146,[       inf 0.16916603        inf],[1.11060000e+05 0.00000000e+00 1.86180408e-02],[inf  1. inf]
41,133,[       inf 0.14973736        inf],[1.21380000e+05 0.00000000e+00 1.87514788e-02],[inf  1. inf]
42,145,[       inf 0.16386527        inf],[1.16380000e+05 0.00000000e+00 1.84979028e-02],[inf  1. inf]
43,151,[       inf 0.17294682        inf],[1.0898000e+05 0.0000000e+00 1.8752993e-02],[inf  1. inf]
44,135,[       inf 0.18407778        inf],[1.1262000e+05 0.0000000e+00 1.8098377e-02],[inf  1. inf]
45,151,[       inf 0.19330631        inf],[9.21600000e+04 0.00000000e+00 1.76405504e-02],[inf  1. inf]
46,144,[       inf 0.21664738        inf],[9.21600000e+04 0.00000000e+00 1.74707784e-02],[inf  1. inf]
47,156,[       inf 0.21294551        inf],[9.21600000e+04 0.00000000e+00 1.71617402e-02],[inf  1. inf]
48,151,[       inf 0.21581044        inf],[1.34300000e+05 0.00000000e+00 1.78020105e-02],[inf  1. inf]
49,145,[       inf 0.23509259        inf],[1.09140000e+05 0.00000000e+00 1.78020105e-02],[inf  1. inf]
50,149,[       inf 0.23173986        inf],[1.09140000e+05 0.00000000e+00 1.83505978e-02],[inf  1. inf]
