id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,27,7,1,81460.0,0.8505958893699124,0.018341680868875426
1,57,6,2,87380.0,0.9346480548582061,0.01996085928894453
2,117,4,0,87540.0,0.9880581321931049,0.020866675606216783
3,6,9,0,88920.0,0.8099794642539866,0.01700142024112683
4,117,4,1,90460.0,0.9917246746413182,0.02144659971253169
5,14,9,2,98120.0,0.8440280746998902,0.018200584112612977
6,113,5,1,98380.0,0.9978542352555946,0.020867568209156088
7,85,6,2,99140.0,0.9908173121370303,0.02049404891650703
8,18,9,2,99800.0,0.8578085575606912,0.018295549683321918
9,97,6,1,101260.0,0.9970095421909198,0.020192411371268138
10,106,6,0,102120.0,0.9969018353497242,0.019862607491037347
11,122,5,1,102160.0,0.9994860062697811,0.021004142797320546
12,144,4,2,104720.0,1.0,0.022329144380263122
13,18,9,4,105640.0,0.8593209034861957,0.019254325797379707
14,135,5,1,107620.0,0.9998828635444809,0.021186105274821614
15,6,11,0,108120.0,0.8426020901327036,0.016969466862649468
16,85,7,2,108740.0,0.9971071804276027,0.02012179183071545
17,65,8,2,109940.0,0.980082476226345,0.019477355262687065
18,13,11,0,111060.0,0.8654924356365793,0.017134422650657476
19,22,10,2,111080.0,0.886993250892935,0.018242144272836575
20,55,9,1,112420.0,0.9665960679270514,0.018637862468222136
21,18,11,0,113160.0,0.8815248203804734,0.017248144836194954
22,122,6,2,114680.0,1.0,0.02104602972410337
23,85,8,1,115420.0,0.9976491997842589,0.019394144637258377
24,93,8,0,115860.0,0.9972729557863717,0.019115481143317403
25,41,10,1,116140.0,0.9420598442896612,0.01821591889850598
26,71,9,0,116220.0,0.9882715960720921,0.0185332461738283
27,121,7,0,118020.0,0.999643198303834,0.019821175079224415
28,85,8,2,118340.0,0.9989072518193022,0.01981807094482995
29,9,12,0,118980.0,0.8659835633523534,0.017023240564239435
30,18,11,2,119000.0,0.8881591921695312,0.018041704441053505
31,55,10,0,119100.0,0.9700592347175367,0.018096161050095136
32,92,8,2,121280.0,1.0,0.01992754996330601
33,55,10,1,122020.0,0.9740126906694038,0.018484696272641297
34,71,10,0,125820.0,0.9913066646297184,0.018395184069350794
35,52,11,0,127440.0,0.970518920540401,0.01794179009691221
36,34,12,0,129480.0,0.9374327909207738,0.01753240564547352
37,92,9,2,130880.0,1.0,0.019670905815895152
38,71,10,3,134580.0,0.9980865514200051,0.019510095133332666
39,48,12,0,135360.0,0.9686753649036073,0.01779003061732164
40,30,13,0,137400.0,0.9354863218259849,0.017410193625203685
41,65,11,2,138740.0,0.9953088110303718,0.018873482889409984
42,55,13,0,147900.0,0.9843921775380056,0.017838889946649183
43,55,13,1,150820.0,0.9889148129446725,0.01814894684334094
44,134,10,0,152280.0,1.0,0.019356716972151987
45,57,14,1,161260.0,0.9928563412165289,0.018094493986940626
46,61,13,4,162100.0,0.9978341512816612,0.019158219190576906
47,113,12,0,162660.0,1.0,0.018784780145694586
48,52,15,0,165840.0,0.9861473206430712,0.017674508895591294
49,25,16,1,167020.0,0.9485885505205314,0.017503320957932594
50,83,14,1,172180.0,0.9999597334396888,0.018453076566637066
51,22,17,0,172440.0,0.9440896984562771,0.01716282908193429
52,22,17,1,175360.0,0.9478647310572859,0.01742240501901603
53,71,15,2,179660.0,0.9999924736066712,0.018472613138684226
54,85,15,0,179700.0,0.9993892802015527,0.018128572067879517
55,52,17,0,185040.0,0.989462145177799,0.017583629795888355
56,85,15,2,185540.0,1.0,0.018644176909810115
57,52,17,1,187960.0,0.9934478992123377,0.017829217482450824
58,55,17,1,189220.0,0.9953238975043577,0.017867500161949375
59,62,17,1,192160.0,0.9979802711635457,0.01795525016499462
60,6,20,0,194520.0,0.9266696811330938,0.016903970116971367
61,121,15,0,194820.0,1.0,0.018563562163878694
62,30,19,0,195000.0,0.9680318112037215,0.01723396237893184
63,83,17,0,198060.0,0.999688492434397,0.017973324632312496
64,65,19,1,212620.0,0.9994471414915624,0.017881788336716057
65,65,19,2,215540.0,0.9999576885368283,0.018099120688441505
66,35,21,1,219220.0,0.9854306957981172,0.017463245256482372
67,106,19,0,226920.0,1.0,0.018111551823537415
68,41,22,1,231340.0,0.9922443341174725,0.017500738069370452
69,52,22,0,233040.0,0.9944655045842357,0.01742339127782858
70,57,22,1,238060.0,0.9987864664446955,0.017669059533410393
71,83,22,1,248980.0,1.0,0.017926976329216367
72,55,24,1,256420.0,0.9989367026343671,0.017584535501931467
73,55,24,2,259340.0,0.9998261084997785,0.01776266646427584
74,62,24,1,259360.0,0.9997174996665971,0.01765129791940132
75,57,24,2,260180.0,0.9999012679413177,0.017781402414824433
76,62,24,2,262280.0,1.0,0.01782781895891677
77,18,26,2,263000.0,0.9797222270506531,0.01735431646974349
78,25,26,1,263020.0,0.9846729308646559,0.01724966210266309
79,30,26,1,265120.0,0.9893690805642759,0.01729780951038836
80,22,27,0,268440.0,0.9787579581995531,0.01704012949984393
81,48,26,0,269760.0,0.9953234941560635,0.01729952625336026
82,22,27,1,271360.0,0.9834812223464522,0.01720613432014935
83,52,26,0,271440.0,0.9966307633993683,0.01733677356926413
84,52,26,2,277280.0,0.9997589570823615,0.017668657608745673
85,52,27,0,281040.0,0.9970300742118829,0.017318884928936545
86,52,27,1,283960.0,0.9990698408541021,0.01747905535965602
87,30,28,1,284320.0,0.9914315797005699,0.017265037806435835
88,33,28,1,285580.0,0.9932743181847652,0.017291787932139747
89,15,29,1,287620.0,0.9798585150553996,0.01711807148569722
